Model,MAE,MSE,RMSE,R2 Score
CatBoost,11865.448762931499,285727590.7205038,16903.478657380077,0.9029130558945948
Gradient Boosting,13037.290339915167,317611183.592093,17821.649294947227,0.8920793782956
LightGBM,12754.447153706216,323642846.8118357,17990.07634257942,0.8900298886106833
XGBoost,14381.427734375,389736032.0,19741.733257239597,0.8675721883773804
Random Forest,14806.264270072992,413278252.94672734,20329.246246398987,0.8595728100928577
Linear Regression,16455.338448605547,567446857.1921124,23821.14307064446,0.8071880941981252
Decision Tree,22355.474452554743,927724025.1751825,30458.56242791479,0.6847700624559916
