Model,MAE,MSE,RMSE,R2 Score
CatBoost,11480.855107050073,279484288.8194067,16717.783609659706,0.9121344441099607
Gradient Boosting,13284.836044075939,357651939.6798301,18911.687911972058,0.8875597385890087
LightGBM,13469.37330936201,383340317.0062064,19579.078553553187,0.8794837084005869
XGBoost,14013.2197265625,410994528.0,20272.999975336654,0.870789647102356
Random Forest,14043.607250000001,435462777.08274174,20867.744896915472,0.863097209723588
Decision Tree,23677.432142857142,1172576379.3035715,34242.902612126374,0.6313600459394274
Linear Regression,16837.207398099552,1191989882.8026643,34525.2064845768,0.6252567394389922
