iter	RMSE
270	11169.07326
271	11144.67841
272	11140.30471
273	11134.6854
274	11120.77446
275	11117.31875
276	11093.01829
277	11067.3699
278	11028.50808
279	11002.64914
280	10989.75033
281	10974.92805
282	10949.18139
283	10946.32378
284	10917.26597
285	10893.93989
286	10871.67202
287	10852.04646
288	10849.51353
289	10829.543
290	10805.28392
291	10778.4604
292	10760.5445
293	10756.96071
294	10733.70697
295	10711.06193
296	10689.47375
297	10670.61909
298	10651.53406
299	10626.78676
300	10587.99027
301	10581.96437
302	10548.15416
303	10523.46751
304	10511.17172
305	10507.67887
306	10484.99354
307	10458.08561
308	10453.64571
309	10436.39507
310	10434.15679
311	10422.93007
312	10399.57716
313	10397.42565
314	10382.84526
315	10360.38732
316	10329.09624
317	10316.24899
318	10301.69762
319	10285.60894
320	10259.12946
321	10252.0713
322	10235.49645
323	10231.86265
324	10216.35774
325	10198.29317
326	10182.29138
327	10155.58058
328	10134.25446
329	10115.67644
330	10112.21833
331	10108.84845
332	10086.08426
333	10083.68057
334	10066.84792
335	10047.92063
336	10045.77367
337	10025.05285
338	10008.72693
339	9993.172796
340	9989.290943
341	9987.016275
342	9973.094821
343	9950.177206
344	9926.865515
345	9912.363454
346	9895.6848
347	9873.398224
348	9866.336164
349	9836.573892
350	9820.9946
351	9817.146612
352	9788.243517
353	9784.489387
354	9760.623362
355	9736.028743
356	9724.151736
357	9703.977444
358	9692.712221
359	9673.562347
360	9654.670123
361	9639.252027
362	9627.203164
363	9625.416544
364	9611.564893
365	9588.120382
366	9576.041688
367	9551.277984
368	9526.419236
369	9508.765637
370	9490.615153
371	9484.176759
372	9475.446834
373	9473.748943
374	9444.092856
375	9441.299577
376	9418.048114
377	9392.642117
378	9376.180007
379	9353.397545
380	9347.516081
381	9325.433016
382	9313.293698
383	9311.66942
384	9300.385024
385	9284.029248
386	9274.837154
387	9252.660769
388	9232.65191
389	9220.24713
390	9207.005757
391	9183.949109
392	9182.640101
393	9164.978844
394	9151.215358
395	9127.322029
396	9108.912912
397	9088.562388
398	9066.356795
399	9053.570316
400	9031.787365
401	9021.660275
402	9014.215492
403	8992.752228
404	8967.10067
405	8956.789966
406	8945.152711
407	8942.85087
408	8926.073087
409	8916.560913
410	8893.850822
411	8876.388273
412	8858.058263
413	8842.830976
414	8826.314226
415	8819.76297
416	8810.062493
417	8800.154811
418	8798.157807
419	8785.403416
420	8776.306067
421	8771.439339
422	8761.513833
423	8750.830566
424	8748.154797
425	8735.127137
426	8716.27054
427	8699.724072
428	8687.326329
429	8678.158709
430	8662.126578
431	8654.322191
432	8635.270414
433	8633.482115
434	8611.471908
435	8583.09083
436	8557.676991
437	8554.400199
438	8545.97778
439	8529.862336
440	8528.150472
441	8526.235492
442	8508.544593
443	8507.160238
444	8505.966659
445	8496.678821
446	8495.462586
447	8474.166118
448	8461.983957
449	8453.61206
450	8432.675361
451	8411.7837
452	8409.90123
453	8400.120658
454	8378.718559
455	8362.656761
456	8348.072361
457	8332.158131
458	8330.823794
459	8314.757758
460	8299.779802
461	8295.989131
462	8277.861525
463	8265.060971
464	8248.887028
465	8237.966951
466	8223.692453
467	8214.234842
468	8202.721525
469	8191.278042
470	8181.403228
471	8162.349589
472	8148.625732
473	8142.414699
474	8138.470933
475	8123.731686
476	8104.326486
477	8090.903555
478	8076.49038
479	8068.478829
480	8051.758546
481	8043.274052
482	8041.58755
483	8023.236399
484	8007.807418
485	7998.021983
486	7978.056391
487	7972.675063
488	7971.236684
489	7969.778375
490	7957.060963
491	7949.870538
492	7931.334778
493	7915.402168
494	7914.516899
495	7903.580326
496	7892.555122
497	7881.668467
498	7867.943874
499	7853.691869
